tag,code,date,dbh,east,north,stems,status07,BA,near_dist,near_east,near_north,utm_east,utm_north
2,QUERPA,8-Dec-06,31,1.9,6.3,1,,0.000754768,6.6,0,0,417698.1324,4096655.451
3,PSEUME,8-Dec-06,378,0.6,6.2,1,,0.112220831,6.2,0,0,417696.8495,4096655.684
4,QUERPA,8-Dec-06,20,0.5,6.8,1,,0.000314159,6.9,0,0,417696.9047,4096656.289
5,SEQUSE,8-Dec-06,1420,3.1,13.7,1,,1.583676857,7,0,20,417701.1673,4096662.306
6,QUERPA,8-Dec-06,74,4.7,19.2,1,,0.00430084,4.7,0,20,417704.1081,4096667.222
8,LITHDE,8-Dec-06,31,5.6,14.8,1,,0.000754768,7.7,0,20,417703.8644,4096662.737
9,PSEUME,8-Dec-06,48,4.6,8.8,1,,0.001809557,10,0,0,417701.3775,4096657.186
10,CORYCO,8-Dec-06,23,7.4,11.4,7,M,0.00140979,11.4,0,20,417704.7447,4096658.992
11,CORYCO,8-Dec-06,16,9.2,11.4,6,M,0.001134115,12.6,0,20,417706.486,4096658.536
12,LITHDE,8-Dec-06,11,7.9,13.2,1,,9.50E-05,10.5,0,20,417705.6842,4096660.607
13,PSEUME,8-Dec-06,19,9.6,14,1,,0.000283529,11.3,0,20,417707.5314,4096660.95
14,LITHDE,8-Dec-06,38,10.4,14.6,1,,0.001134115,11.1,20,20,417708.4573,4096661.328
15,PSEUME,8-Dec-06,14,9.8,16.2,1,,0.000153938,10.5,0,20,417708.2821,4096663.028
16,QUERAG,8-Dec-06,41,11,18.2,1,,0.001320254,9.2,20,20,417709.9494,4096664.659
17,ARBUME,8-Dec-06,364,11.3,18.9,1,,0.104062115,8.8,20,20,417710.4169,4096665.26
18,ARBUME,8-Dec-06,213,11.9,20.4,1,,0.035632729,8.2,20,20,417711.3772,4096666.559
19,QUERAG,8-Dec-06,50,12.3,18.3,1,,0.001963495,7.9,20,20,417711.2324,4096664.426
20,PSEUME,8-Dec-06,31,12.6,14.8,1,,0.000754768,9,20,20,417710.6362,4096660.964
21,PSEUME,8-Dec-06,49,14.8,16.5,1,,0.001885741,6.3,20,20,417713.195,4096662.052
22,ARBUME,8-Dec-06,28,15.4,17,1,,0.000615752,5.5,20,20,417713.9021,4096662.384
23,QUERPA,8-Dec-06,37,16.8,17.9,1,,0.00107521,3.8,20,20,417715.4844,4096662.9
24,LITHDE,8-Dec-06,22,15.5,20.4,3,M,0.000807389,4.5,20,20,417714.8599,4096665.647
25,CORYCO,8-Dec-06,23,15.5,20.6,6,M,0.00091656,4.6,20,20,417714.9105,4096665.841
26,QUERAG,8-Dec-06,27,15.6,15.5,1,,0.000572555,6.3,20,20,417713.7157,4096660.882
27,LITHDE,8-Dec-06,28,19.9,15.9,1,,0.000615752,4.1,20,20,417717.9768,4096660.18
28,LITHDE,8-Dec-06,124,16.1,14.8,1,,0.012076282,6.5,20,20,417714.0221,4096660.078
29,QUERAG,8-Dec-06,14,17.5,14.4,1,,0.000153938,6.2,20,20,417715.2752,4096659.336
30,PSEUME,8-Dec-06,89,18.8,12.8,1,,0.006221139,7.3,20,20,417716.1276,4096657.459
32,CORYCO,8-Dec-06,18,16.6,12.5,4,M,0.000704502,8.3,20,20,417713.9233,4096657.726
33,QUERAG,8-Dec-06,20,17.7,11.8,2,M,0.000490874,8.5,20,20,417714.8102,4096656.771
34,PSEUME,8-Dec-06,99,15.2,12.7,1,,0.007697687,8.7,20,20,417712.6196,4096658.274
35,PSEUME,8-Dec-06,34,11.7,13.1,1,,0.00090792,10.8,20,20,417709.335,4096659.548
36,PSEUME,8-Dec-06,24,11.5,12.7,1,,0.000452389,11.2,20,20,417709.0403,4096659.211
37,PSEUME,8-Dec-06,35,12.5,12.5,1,,0.000962113,10.6,20,20,417709.957,4096658.765
38,LITHDE,8-Dec-06,12,12.1,17.7,1,,0.000113097,8.3,20,20,417710.8869,4096663.896
39,PSEUME,8-Dec-06,108,14,7.4,1,,0.009160884,9.5,20,0,417710.1165,4096653.451
40,PSEUME,8-Dec-06,47,15.5,7.2,1,,0.001734945,8.5,20,0,417711.517,4096652.878
41,PSEUME,8-Dec-06,26,15.3,6.5,1,,0.000530929,8,20,0,417711.1462,4096652.251
42,PSEUME,8-Dec-06,81,16.6,5.9,1,I,0.005152997,6.8,20,0,417712.2519,4096651.341
43,PSEUME,8-Dec-06,39,17.3,6.2,1,,0.001194591,6.8,20,0,417713.005,4096651.454
44,PSEUME,8-Dec-06,14,20.2,5.7,1,,0.000153938,5.7,20,0,417715.6839,4096650.236
45,PSEUME,8-Dec-06,68,18.2,5.1,1,,0.003631681,5.4,20,0,417713.5971,4096650.162
46,CORYCO,8-Dec-06,24,17.2,3.6,5,M,0.00119302,4.5,20,0,417712.2498,4096648.965
47,PSEUME,8-Dec-06,47,20.1,2.8,1,,0.001734945,2.8,20,0,417714.8527,4096647.456
48,CORYCO,8-Dec-06,20,15.4,4.9,3,M,0.000789325,6.7,20,0,417710.8377,4096650.678
